pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_w,q_x,q_y,q_z,wx,wy,wz
6.7712e+06,-4986.31,40377.2,-46.1413,-940.802,7618.24,0.99998,0.00638894,4.62643e-05,-3.2585e-05,0.00428783,2.20578e-05,-1.91218e-05
6.77119e+06,-5080.39,41139,-47.0118,-940.801,7618.24,0.999978,0.00660467,4.73622e-05,-3.35466e-05,0.0043415,2.18924e-05,-1.92219e-05
6.77119e+06,-5174.47,41900.8,-47.8824,-940.8,7618.23,0.999977,0.00682307,4.84514e-05,-3.45132e-05,0.00439439,2.17154e-05,-1.93158e-05
6.77119e+06,-5268.55,42662.6,-48.753,-940.8,7618.22,0.999975,0.00704409,4.95315e-05,-3.54845e-05,0.00444652,2.1527e-05,-1.94037e-05
6.77118e+06,-5362.63,43424.5,-49.6236,-940.799,7618.22,0.999974,0.00726769,5.06018e-05,-3.64603e-05,0.0044979,2.13278e-05,-1.94855e-05
6.77118e+06,-5456.71,44186.3,-50.4941,-940.798,7618.21,0.999972,0.00749385,5.16618e-05,-3.74402e-05,0.00454853,2.11181e-05,-1.95616e-05
6.77117e+06,-5550.79,44948.1,-51.3647,-940.798,7618.21,0.99997,0.00772252,5.2711e-05,-3.8424e-05,0.00459843,2.08982e-05,-1.96319e-05
6.77117e+06,-5644.87,45709.9,-52.2353,-940.797,7618.2,0.999968,0.00795367,5.37489e-05,-3.94113e-05,0.00464761,2.06685e-05,-1.96968e-05
6.77116e+06,-5738.95,46471.7,-53.1059,-940.796,7618.2,0.999966,0.00818726,5.4775e-05,-4.0402e-05,0.00469607,2.04292e-05,-1.97562e-05
6.77115e+06,-5833.03,47233.6,-53.9764,-940.795,7618.19,0.999965,0.00842325,5.57888e-05,-4.13958e-05,0.00474384,2.01809e-05,-1.98103e-05
6.77115e+06,-5927.11,47995.4,-54.847,-940.795,7618.18,0.999962,0.00866161,5.67899e-05,-4.23924e-05,0.00479091,1.99237e-05,-1.98593e-05
6.77114e+06,-6021.19,48757.2,-55.7176,-940.794,7618.18,0.99996,0.00890231,5.77778e-05,-4.33915e-05,0.00483729,1.9658e-05,-1.99033e-05
6.77114e+06,-6115.27,49519,-56.5882,-940.793,7618.17,0.999958,0.00914531,5.87522e-05,-4.4393e-05,0.004883,1.93841e-05,-1.99423e-05
6.77113e+06,-6209.34,50280.8,-57.4587,-940.792,7618.16,0.999956,0.00939058,5.97126e-05,-4.53965e-05,0.00492805,1.91023e-05,-1.99766e-05
6.77113e+06,-6303.42,51042.6,-58.3293,-940.791,7618.16,0.999954,0.00963808,6.06586e-05,-4.6402e-05,0.00497243,1.88129e-05,-2.00061e-05
6.77112e+06,-6397.5,51804.5,-59.1999,-940.791,7618.15,0.999951,0.00988779,6.15899e-05,-4.7409e-05,0.00501617,1.85163e-05,-2.00312e-05
6.77111e+06,-6491.58,52566.3,-60.0704,-940.79,7618.15,0.999949,0.0101397,6.2506e-05,-4.84175e-05,0.00505928,1.82125e-05,-2.00518e-05
6.77111e+06,-6585.66,53328.1,-60.941,-940.789,7618.14,0.999946,0.0103937,6.34067e-05,-4.94272e-05,0.00510175,1.79021e-05,-2.0068e-05
6.7711e+06,-6679.74,54089.9,-61.8116,-940.788,7618.13,0.999943,0.0106498,6.42917e-05,-5.04379e-05,0.00514359,1.75851e-05,-2.008e-05
6.7711e+06,-6773.82,54851.7,-62.6821,-940.787,7618.12,0.999941,0.010908,6.51605e-05,-5.14494e-05,0.00518483,1.7262e-05,-2.00879e-05
6.77109e+06,-6867.9,55613.5,-63.5527,-940.786,7618.12,0.999938,0.0111682,6.60129e-05,-5.24614e-05,0.00522546,1.69329e-05,-2.00918e-05
6.77108e+06,-6961.98,56375.3,-64.4233,-940.785,7618.11,0.999935,0.0114305,6.68486e-05,-5.34739e-05,0.00526549,1.6598e-05,-2.00918e-05
6.77108e+06,-7056.05,57137.2,-65.2938,-940.785,7618.1,0.999932,0.0116947,6.76673e-05,-5.44867e-05,0.00530494,1.62577e-05,-2.0088e-05
6.77107e+06,-7150.13,57899,-66.1644,-940.784,7618.1,0.999928,0.011961,6.84688e-05,-5.54994e-05,0.0053438,1.59122e-05,-2.00805e-05
6.77106e+06,-7244.21,58660.8,-67.0349,-940.783,7618.09,0.999925,0.0122291,6.92527e-05,-5.65121e-05,0.00538209,1.55617e-05,-2.00694e-05
6.77106e+06,-7338.29,59422.6,-67.9055,-940.782,7618.08,0.999922,0.0124991,7.00189e-05,-5.75244e-05,0.00541982,1.52064e-05,-2.00547e-05
6.77105e+06,-7432.37,60184.4,-68.7761,-940.781,7618.07,0.999918,0.012771,7.0767e-05,-5.85363e-05,0.00545699,1.48465e-05,-2.00367e-05
6.77104e+06,-7526.45,60946.2,-69.6466,-940.78,7618.06,0.999915,0.0130448,7.1497e-05,-5.95475e-05,0.00549361,1.44823e-05,-2.00153e-05
6.77104e+06,-7620.52,61708,-70.5172,-940.779,7618.06,0.999911,0.0133203,7.22085e-05,-6.0558e-05,0.00552968,1.4114e-05,-1.99906e-05
6.77103e+06,-7714.6,62469.8,-71.3877,-940.778,7618.05,0.999908,0.0135977,7.29013e-05,-6.15675e-05,0.00556522,1.37418e-05,-1.99628e-05
6.77102e+06,-7808.68,63231.6,-72.2583,-940.777,7618.04,0.999904,0.0138768,7.35753e-05,-6.25759e-05,0.00560024,1.33658e-05,-1.9932e-05
6.77101e+06,-7902.76,63993.4,-73.1289,-940.776,7618.03,0.9999,0.0141576,7.42303e-05,-6.35831e-05,0.00563473,1.29864e-05,-1.98982e-05
6.77101e+06,-7996.83,64755.2,-73.9994,-940.775,7618.02,0.999896,0.0144402,7.48661e-05,-6.45889e-05,0.00566871,1.26035e-05,-1.98615e-05
6.771e+06,-8090.91,65517,-74.87,-940.774,7618.02,0.999892,0.0147244,7.54826e-05,-6.55932e-05,0.00570218,1.22176e-05,-1.9822e-05
6.77099e+06,-8184.99,66278.8,-75.7405,-940.773,7618.01,0.999887,0.0150103,7.60795e-05,-6.65959e-05,0.00573515,1.18286e-05,-1.97797e-05
6.77098e+06,-8279.07,67040.6,-76.6111,-940.772,7618,0.999883,0.0152979,7.66567e-05,-6.75968e-05,0.00576763,1.14369e-05,-1.97348e-05
6.77098e+06,-8373.14,67802.4,-77.4816,-940.771,7617.99,0.999879,0.015587,7.72142e-05,-6.85958e-05,0.00579962,1.10426e-05,-1.96873e-05
6.77097e+06,-8467.22,68564.2,-78.3522,-940.77,7617.98,0.999874,0.0158778,7.77517e-05,-6.95928e-05,0.00583113,1.06458e-05,-1.96374e-05
6.77096e+06,-8561.3,69326,-79.2227,-940.768,7617.97,0.999869,0.0161701,7.82692e-05,-7.05877e-05,0.00586217,1.02467e-05,-1.9585e-05
6.77095e+06,-8655.37,70087.8,-80.0933,-940.767,7617.96,0.999864,0.0164639,7.87665e-05,-7.15804e-05,0.00589274,9.84542e-06,-1.95302e-05
6.77095e+06,-8749.45,70849.6,-80.9638,-940.766,7617.95,0.99986,0.0167592,7.92435e-05,-7.25706e-05,0.00592286,9.4422e-06,-1.94732e-05
6.77094e+06,-8843.53,71611.4,-81.8344,-940.765,7617.94,0.999855,0.0170561,7.97002e-05,-7.35585e-05,0.00595251,9.03714e-06,-1.94139e-05
6.77093e+06,-8937.6,72373.2,-82.7049,-940.764,7617.94,0.999849,0.0173544,8.01364e-05,-7.45437e-05,0.00598172,8.63041e-06,-1.93526e-05
6.77092e+06,-9031.68,73135,-83.5754,-940.763,7617.93,0.999844,0.0176542,8.05521e-05,-7.55264e-05,0.00601049,8.22212e-06,-1.92891e-05
6.77091e+06,-9125.76,73896.8,-84.446,-940.762,7617.92,0.999839,0.0179553,8.09471e-05,-7.65062e-05,0.00603882,7.81244e-06,-1.92237e-05
6.7709e+06,-9219.83,74658.6,-85.3165,-940.76,7617.91,0.999833,0.0182579,8.13215e-05,-7.74832e-05,0.00606672,7.40148e-06,-1.91563e-05
6.7709e+06,-9313.91,75420.4,-86.1871,-940.759,7617.9,0.999828,0.0185619,8.16751e-05,-7.84573e-05,0.0060942,6.98939e-06,-1.9087e-05
6.77089e+06,-9407.98,76182.2,-87.0576,-940.758,7617.89,0.999822,0.0188672,8.20079e-05,-7.94284e-05,0.00612126,6.57628e-06,-1.90159e-05
6.77088e+06,-9502.06,76943.9,-87.9281,-940.757,7617.88,0.999816,0.0191739,8.23199e-05,-8.03963e-05,0.0061479,6.16228e-06,-1.89431e-05
6.77087e+06,-9596.14,77705.7,-88.7987,-940.756,7617.87,0.99981,0.0194819,8.26109e-05,-8.13611e-05,0.00617414,5.74752e-06,-1.88685e-05
6.77086e+06,-9690.21,78467.5,-89.6692,-940.754,7617.86,0.999804,0.0197912,8.2881e-05,-8.23226e-05,0.00619998,5.3321e-06,-1.87923e-05
6.77085e+06,-9784.29,79229.3,-90.5397,-940.753,7617.85,0.999798,0.0201018,8.31301e-05,-8.32808e-05,0.00622542,4.91615e-06,-1.87146e-05
6.77084e+06,-9878.36,79991.1,-91.4103,-940.752,7617.84,0.999792,0.0204136,8.33583e-05,-8.42355e-05,0.00625046,4.49978e-06,-1.86353e-05
6.77083e+06,-9972.44,80752.9,-92.2808,-940.751,7617.83,0.999785,0.0207267,8.35654e-05,-8.51868e-05,0.00627513,4.08308e-06,-1.85546e-05
6.77082e+06,-10066.5,81514.6,-93.1513,-940.749,7617.82,0.999779,0.021041,8.37515e-05,-8.61346e-05,0.00629941,3.66617e-06,-1.84724e-05
6.77081e+06,-10160.6,82276.4,-94.0219,-940.748,7617.81,0.999772,0.0213565,8.39165e-05,-8.70787e-05,0.00632332,3.24916e-06,-1.83889e-05
6.7708e+06,-10254.7,83038.2,-94.8924,-940.747,7617.8,0.999765,0.0216732,8.40605e-05,-8.80191e-05,0.00634685,2.83212e-06,-1.8304e-05
6.7708e+06,-10348.7,83800,-95.7629,-940.745,7617.78,0.999758,0.021991,8.41835e-05,-8.89559e-05,0.00637003,2.41517e-06,-1.8218e-05
6.77079e+06,-10442.8,84561.8,-96.6335,-940.744,7617.77,0.999751,0.02231,8.42854e-05,-8.98888e-05,0.00639284,1.9984e-06,-1.81307e-05
6.77078e+06,-10536.9,85323.5,-97.504,-940.743,7617.76,0.999744,0.0226301,8.43663e-05,-9.08179e-05,0.00641529,1.58189e-06,-1.80422e-05
6.77077e+06,-10631,86085.3,-98.3745,-940.741,7617.75,0.999737,0.0229514,8.44261e-05,-9.17431e-05,0.0064374,1.16573e-06,-1.79526e-05
6.77076e+06,-10725,86847.1,-99.245,-940.74,7617.74,0.999729,0.0232737,8.4465e-05,-9.26643e-05,0.00645916,7.50017e-07,-1.7862e-05
6.77075e+06,-10819.1,87608.9,-100.116,-940.739,7617.73,0.999722,0.0235971,8.44828e-05,-9.35816e-05,0.00648058,3.34821e-07,-1.77703e-05
6.77074e+06,-10913.2,88370.6,-100.986,-940.737,7617.72,0.999714,0.0239216,8.44797e-05,-9.44948e-05,0.00650166,-7.9775e-08,-1.76777e-05
6.77073e+06,-11007.3,89132.4,-101.857,-940.736,7617.71,0.999706,0.0242471,8.44557e-05,-9.54039e-05,0.00652241,-4.93693e-07,-1.75841e-05
6.77072e+06,-11101.3,89894.2,-102.727,-940.734,7617.69,0.999698,0.0245736,8.44108e-05,-9.6309e-05,0.00654283,-9.06857e-07,-1.74896e-05
