a,e,i,RAAN,argp,nu
6.77812e+06,0.00100188,1.69367,0,0.0205503,6.27692
6.77812e+06,0.00100189,1.69367,0,0.0207132,6.27687
6.77812e+06,0.0010019,1.69367,0,0.020876,6.27682
6.77812e+06,0.00100191,1.69367,0,0.0210389,6.27677
6.77812e+06,0.00100192,1.69367,0,0.0212018,6.27672
6.77812e+06,0.00100193,1.69367,0,0.0213646,6.27667
6.77812e+06,0.00100194,1.69367,0,0.0215275,6.27662
6.77812e+06,0.00100195,1.69367,0,0.0216903,6.27657
6.77812e+06,0.00100196,1.69367,0,0.0218532,6.27652
6.77812e+06,0.00100197,1.69367,0,0.022016,6.27647
6.77812e+06,0.00100199,1.69367,0,0.0221788,6.27642
6.77812e+06,0.001002,1.69367,0,0.0223417,6.27637
6.77812e+06,0.00100201,1.69367,0,0.0225045,6.27633
6.77812e+06,0.00100202,1.69367,0,0.0226673,6.27628
6.77812e+06,0.00100203,1.69367,0,0.0228302,6.27623
6.77812e+06,0.00100204,1.69367,0,0.022993,6.27618
6.77812e+06,0.00100204,1.69367,0,0.0231558,6.27613
6.77812e+06,0.00100205,1.69367,0,0.0233186,6.27608
6.77812e+06,0.00100206,1.69367,0,0.0234814,6.27603
6.77812e+06,0.00100207,1.69367,0,0.0236442,6.27598
6.77812e+06,0.00100208,1.69367,0,0.023807,6.27593
6.77812e+06,0.00100209,1.69367,0,0.0239698,6.27588
6.77812e+06,0.0010021,1.69367,0,0.0241326,6.27583
6.77812e+06,0.00100211,1.69367,0,0.0242954,6.27578
6.77812e+06,0.00100212,1.69367,0,0.0244582,6.27573
6.77812e+06,0.00100213,1.69367,0,0.024621,6.27568
6.77812e+06,0.00100214,1.69367,0,0.0247838,6.27563
6.77812e+06,0.00100215,1.69367,0,0.0249466,6.27558
6.77812e+06,0.00100216,1.69367,0,0.0251094,6.27553
6.77812e+06,0.00100217,1.69367,0,0.0252721,6.27548
6.77812e+06,0.00100218,1.69367,0,0.0254349,6.27544
6.77812e+06,0.00100218,1.69367,0,0.0255977,6.27539
6.77812e+06,0.00100219,1.69367,0,0.0257604,6.27534
6.77812e+06,0.0010022,1.69367,0,0.0259232,6.27529
6.77812e+06,0.00100221,1.69367,0,0.026086,6.27524
6.77812e+06,0.00100222,1.69367,0,0.0262487,6.27519
6.77812e+06,0.00100223,1.69367,0,0.0264115,6.27514
6.77812e+06,0.00100224,1.69367,0,0.0265742,6.27509
6.77812e+06,0.00100224,1.69367,0,0.026737,6.27504
6.77812e+06,0.00100225,1.69367,0,0.0268997,6.27499
6.77812e+06,0.00100226,1.69367,0,0.0270625,6.27494
6.77812e+06,0.00100227,1.69367,0,0.0272252,6.27489
6.77812e+06,0.00100228,1.69367,0,0.0273879,6.27484
6.77812e+06,0.00100229,1.69367,0,0.0275507,6.27479
6.77812e+06,0.00100229,1.69367,0,0.0277134,6.27474
6.77812e+06,0.0010023,1.69367,0,0.0278761,6.27469
6.77812e+06,0.00100231,1.69367,0,0.0280388,6.27465
6.77812e+06,0.00100232,1.69367,0,0.0282015,6.2746
6.77812e+06,0.00100233,1.69367,0,0.0283643,6.27455
6.77812e+06,0.00100233,1.69367,0,0.028527,6.2745
6.77812e+06,0.00100234,1.69367,0,0.0286897,6.27445
6.77812e+06,0.00100235,1.69367,0,0.0288524,6.2744
6.77812e+06,0.00100236,1.69367,0,0.0290151,6.27435
6.77812e+06,0.00100236,1.69367,0,0.0291778,6.2743
6.77812e+06,0.00100237,1.69367,0,0.0293405,6.27425
6.77812e+06,0.00100238,1.69367,0,0.0295032,6.2742
6.77812e+06,0.00100238,1.69367,0,0.0296659,6.27415
6.77812e+06,0.00100239,1.69367,0,0.0298285,6.2741
6.77812e+06,0.0010024,1.69367,0,0.0299912,6.27405
6.77812e+06,0.00100241,1.69367,0,0.0301539,6.274
6.77812e+06,0.00100241,1.69367,0,0.0303166,6.27395
6.77812e+06,0.00100242,1.69367,0,0.0304793,6.27391
6.77812e+06,0.00100243,1.69367,0,0.0306419,6.27386
6.77812e+06,0.00100243,1.69367,0,0.0308046,6.27381
6.77812e+06,0.00100244,1.69367,0,0.0309673,6.27376
6.77812e+06,0.00100245,1.69367,0,0.0311299,6.27371
6.77812e+06,0.00100245,1.69367,0,0.0312926,6.27366
6.77812e+06,0.00100246,1.69367,0,0.0314552,6.27361
6.77812e+06,0.00100247,1.69367,0,0.0316179,6.27356
6.77812e+06,0.00100247,1.69367,0,0.0317805,6.27351
6.77812e+06,0.00100248,1.69367,0,0.0319432,6.27346
6.77812e+06,0.00100249,1.69367,0,0.0321058,6.27341
6.77812e+06,0.00100249,1.69367,0,0.0322685,6.27336
6.77812e+06,0.0010025,1.69367,0,0.0324311,6.27331
6.77812e+06,0.0010025,1.69367,0,0.0325937,6.27326
6.77812e+06,0.00100251,1.69367,0,0.0327564,6.27322
6.77812e+06,0.00100252,1.69367,0,0.032919,6.27317
6.77812e+06,0.00100252,1.69367,0,0.0330816,6.27312
6.77812e+06,0.00100253,1.69367,0,0.0332442,6.27307
6.77812e+06,0.00100253,1.69367,0,0.0334069,6.27302
6.77813e+06,0.00100254,1.69367,0,0.0335695,6.27297
6.77813e+06,0.00100254,1.69367,0,0.0337321,6.27292
6.77813e+06,0.00100255,1.69367,0,0.0338947,6.27287
6.77813e+06,0.00100256,1.69367,0,0.0340573,6.27282
6.77813e+06,0.00100256,1.69367,0,0.0342199,6.27277
6.77813e+06,0.00100257,1.69367,0,0.0343825,6.27272
6.77813e+06,0.00100257,1.69367,0,0.0345451,6.27267
6.77813e+06,0.00100258,1.69367,0,0.0347077,6.27262
6.77813e+06,0.00100258,1.69367,0,0.0348703,6.27257
6.77813e+06,0.00100259,1.69367,0,0.0350329,6.27253
6.77813e+06,0.00100259,1.69367,0,0.0351955,6.27248
6.77813e+06,0.0010026,1.69367,0,0.0353581,6.27243
6.77813e+06,0.0010026,1.69367,0,0.0355206,6.27238
6.77813e+06,0.00100261,1.69367,0,0.0356832,6.27233
6.77813e+06,0.00100261,1.69367,0,0.0358458,6.27228
6.77813e+06,0.00100262,1.69367,0,0.0360084,6.27223
6.77813e+06,0.00100262,1.69367,0,0.0361709,6.27218
6.77813e+06,0.00100263,1.69367,0,0.0363335,6.27213
6.77813e+06,0.00100263,1.69367,0,0.0364961,6.27208
6.77813e+06,0.00100263,1.69367,0,0.0366586,6.27203
6.77813e+06,0.00100264,1.69367,0,0.0368212,6.27198
6.77813e+06,0.00100264,1.69367,0,0.0369837,6.27194
6.77813e+06,0.00100265,1.69367,0,0.0371463,6.27189
6.77813e+06,0.00100265,1.69367,0,0.0373088,6.27184
6.77813e+06,0.00100266,1.69367,0,0.0374714,6.27179
6.77813e+06,0.00100266,1.69367,0,0.0376339,6.27174
6.77813e+06,0.00100266,1.69367,0,0.0377965,6.27169
